CMDLINE /Users/jsopkin/Library/Caches/pypoetry/virtualenvs/memory-leak-aQ-LIkNN-py3.11/bin/python flow.py
MEM 0.015625 1694029119.8851
MEM 23.105469 1694029119.9903
MEM 31.800781 1694029120.0955
MEM 43.035156 1694029120.2006
MEM 50.636719 1694029120.3057
MEM 56.847656 1694029120.4108
MEM 62.707031 1694029120.5120
MEM 71.218750 1694029120.6172
MEM 78.000000 1694029120.7208
MEM 83.148438 1694029120.8245
MEM 87.402344 1694029120.9279
MEM 91.253906 1694029121.0331
MEM 101.250000 1694029121.1376
MEM 108.121094 1694029121.2425
MEM 115.839844 1694029121.3476
MEM 119.367188 1694029121.4527
MEM 129.121094 1694029121.5578
MEM 137.000000 1694029121.6630
MEM 139.492188 1694029121.7650
MEM 145.300781 1694029121.8701
MEM 146.476562 1694029121.9752
MEM 147.289062 1694029122.0804
MEM 147.289062 1694029122.1861
MEM 147.480469 1694029122.2905
MEM 149.359375 1694029122.3943
MEM 159.468750 1694029122.4994
MEM 159.808594 1694029122.6011
MEM 156.835938 1694029122.7061
MEM 166.250000 1694029122.8091
MEM 166.542969 1694029122.9114
MEM 166.550781 1694029123.0166
MEM 166.550781 1694029123.1217
MEM 166.550781 1694029123.2269
MEM 166.550781 1694029123.3322
MEM 166.550781 1694029123.4339
MEM 166.550781 1694029123.5392
MEM 166.550781 1694029123.6446
MEM 166.550781 1694029123.7486
MEM 162.468750 1694029123.8504
MEM 162.656250 1694029123.9524
MEM 162.718750 1694029124.0576
MEM 162.718750 1694029124.1580
MEM 162.730469 1694029124.2631
MEM 162.734375 1694029124.3683
MEM 162.742188 1694029124.4724
MEM 162.996094 1694029124.5750
MEM 163.023438 1694029124.6763
MEM 163.046875 1694029124.7814
MEM 163.046875 1694029124.8866
MEM 165.234375 1694029124.9922
MEM 165.226562 1694029125.0981
MEM 165.226562 1694029125.2065
MEM 165.226562 1694029125.3114
MEM 165.226562 1694029125.4167
MEM 165.226562 1694029125.5177
MEM 165.226562 1694029125.6186
MEM 165.226562 1694029125.7242
MEM 165.226562 1694029125.8263
MEM 177.570312 1694029125.9305
MEM 177.968750 1694029126.0347
MEM 178.160156 1694029126.1398
MEM 178.226562 1694029126.2452
MEM 178.246094 1694029126.3502
MEM 178.398438 1694029126.4556
MEM 179.417969 1694029126.5608
MEM 180.632812 1694029126.6628
MEM 180.757812 1694029126.7666
MEM 174.539062 1694029126.8703
MEM 175.382812 1694029126.9755
MEM 173.671875 1694029127.0777
MEM 173.675781 1694029127.1829
MEM 173.917969 1694029127.2848
MEM 173.917969 1694029127.3900
MEM 175.273438 1694029127.4957
MEM 175.781250 1694029127.5968
MEM 175.585938 1694029127.6994
MEM 175.859375 1694029127.8039
MEM 177.800781 1694029127.9062
MEM 177.906250 1694029128.0129
MEM 178.195312 1694029128.1182
MEM 178.394531 1694029128.2210
MEM 178.773438 1694029128.3244
MEM 179.003906 1694029128.4290
MEM 179.265625 1694029128.5317
MEM 179.285156 1694029128.6329
MEM 179.378906 1694029128.7359
MEM 179.378906 1694029128.8384
MEM 182.433594 1694029128.9437
MEM 182.433594 1694029129.0487
MEM 182.433594 1694029129.1539
MEM 174.828125 1694029129.2564
MEM 174.828125 1694029129.3634
MEM 176.203125 1694029129.4686
MEM 176.203125 1694029129.5730
MEM 174.804688 1694029129.6750
MEM 174.804688 1694029129.7792
MEM 178.738281 1694029129.8838
MEM 177.753906 1694029129.9890
MEM 177.777344 1694029130.0937
MEM 177.777344 1694029130.1983
MEM 177.648438 1694029130.2996
MEM 177.648438 1694029130.4033
MEM 177.648438 1694029130.5050
MEM 177.238281 1694029130.6099
MEM 177.238281 1694029130.7102
MEM 177.238281 1694029130.8155
MEM 177.964844 1694029130.9175
MEM 177.910156 1694029131.0218
MEM 177.457031 1694029131.1231
MEM 177.457031 1694029131.2245
MEM 177.457031 1694029131.3301
MEM 177.457031 1694029131.4315
MEM 177.457031 1694029131.5344
MEM 177.457031 1694029131.6369
MEM 177.457031 1694029131.7392
MEM 177.457031 1694029131.8430
MEM 181.433594 1694029131.9474
MEM 181.429688 1694029132.0487
MEM 181.046875 1694029132.1528
MEM 181.046875 1694029132.2583
MEM 181.046875 1694029132.3620
MEM 181.046875 1694029132.4663
MEM 181.046875 1694029132.5712
MEM 181.046875 1694029132.6749
MEM 181.046875 1694029132.7753
MEM 181.046875 1694029132.8761
MEM 181.824219 1694029132.9800
MEM 181.824219 1694029133.0853
MEM 181.824219 1694029133.1900
MEM 181.824219 1694029133.2955
MEM 181.824219 1694029133.4003
MEM 181.824219 1694029133.5058
MEM 181.824219 1694029133.6108
MEM 181.824219 1694029133.7121
MEM 181.824219 1694029133.8147
MEM 183.804688 1694029133.9154
MEM 183.804688 1694029134.0209
MEM 183.804688 1694029134.1235
MEM 183.804688 1694029134.2293
MEM 183.804688 1694029134.3312
MEM 183.816406 1694029134.4351
MEM 183.816406 1694029134.5390
MEM 183.816406 1694029134.6447
